<SIL> SIL
ya y a
te t e
no n o
lu l u
ba b a
ze z e
ti t i
tu t u
lo l o
mo m o
de d e
pe p e
xe x e
ra r a
pa p a
le l e
ka k a
rro rr o
za z a
ma m a
po p o
chu ch u
li l i
ko k o
di d i
ga g a
be b e
yo y o
so s o
to t o
re r e
xa x a
nu n u
me m e
ro r o
pi p i
bo b o
mi m i
yi y i
fo f o
ne n e
sa s a
fe f e
cha ch a
ni n i
bi b i
ye y e
do d o
nyo ny o
nya ny a
da d a
fa f a
la l a
zi z i
se s e
ri r i
ta t a
na n a
ku k u
xo x o
fu f u
rre rr e
go g o
zo z o
ge g e
rra rr a
tie t ie
du d u
gi g i
cho ch o
bu b u
xi x i
si s i
f* f *
sol s o l
mon m o n
mu m u
gu g u
fi f i
ke k e
rri rr i
che ch e
